White Rating,Black Rating,accdiff,misdiff,blundiff,Winner
1318,1332,3,0,-1,White
1340,1409,3,-3,4,Black
1411,1342,3,-1,2,White
1728,1720,2,2,1,Black
1694,1311,-2,-1,-1,White
1500,1267,0,1,1,White
1251,1324,0,-1,0,Black
1301,1273,0,0,1,White
2173,1986,-2,2,-1,White
1742,2181,-2,0,1,Black
1431,1509,0,0,1,Black
1795,1301,-3,0,-2,White
1792,1359,-3,-2,-1,White
1791,1282,1,-2,-1,White
1811,1549,-1,1,0,Black
1809,1389,4,-2,-1,White
1460,1806,-1,1,0,Black
1506,1802,3,-1,1,Black
1500,1816,3,0,1,Black
1754,1824,2,-3,-1,White
1836,1954,6,1,0,Black
1989,2122,0,2,0,Draw
1958,2241,-1,2,0,White
2151,1927,1,0,3,Black
1890,1891,1,0,1,Black
1187,1170,1,-1,2,Draw
1920,2000,-4,0,-1,White
1949,2014,1,-5,1,White
1935,2028,1,-2,0,White
2035,2040,-1,-1,-1,White
1856,2034,-2,0,2,Black
2045,2046,-2,0,-1,White
2025,2054,-4,0,-1,White
1455,1876,-1,1,2,Black
1799,1606,0,-2,-1,White
1793,1772,0,1,2,Black
1778,1782,1,2,1,Draw
1515,1777,3,2,0,Black
1588,1791,-3,0,-1,White
1559,1786,1,1,1,Black
1776,1728,0,-3,-1,White
1767,1689,0,-3,0,White
1759,1521,3,-1,-1,White
1702,1644,0,1,2,Black
1505,1483,-3,-1,-1,White
1495,1492,3,0,2,Black
2119,1710,0,0,0,White
1785,2119,5,1,1,Draw
2088,2119,1,0,1,Black
2276,2294,0,0,0,Black
2276,2252,-3,-1,-1,White
2276,2224,0,0,0,White
1926,1933,-2,0,0,White
2047,1918,2,0,3,Black
2188,1904,3,1,1,Black
1890,1995,-4,0,-1,White
1637,1521,1,-4,1,White
1628,1572,-2,2,-1,White
1714,1655,0,1,2,Black
1603,2241,1,0,-1,Black
2235,1652,-3,-2,0,White
2263,2136,4,0,0,Black
1800,2260,2,1,1,Black
1737,2257,3,0,1,Black
2203,2187,2,0,-1,White
1886,1882,-1,-1,0,White
1940,2120,2,0,2,Black
2139,1477,-1,-1,-1,White
1316,1479,2,-3,3,Black
1590,1590,1,0,2,Black
1253,1235,0,-2,0,White
1819,1855,5,-1,1,Black
2151,2131,0,3,1,Black
2127,1989,1,-2,-1,White
2082,2128,-1,-2,-1,Draw
1753,1731,-1,0,-1,White
1734,1742,1,3,-1,Black
2165,2145,3,1,0,Black
2225,2155,1,0,1,Black
2191,2158,-5,0,-1,White
2159,2149,-1,0,1,Black
2154,2140,2,1,2,Black
2151,2089,2,0,2,Draw
1899,1432,3,-1,1,Black
1884,1687,-3,0,-1,White
1102,1596,-1,2,-2,White
1728,1244,-1,0,0,White
1246,1724,4,-1,1,Black
1254,1425,-1,1,1,Black
1506,1538,0,2,-3,Black
1887,1992,0,1,1,Black
1694,1988,4,0,1,Black
2003,1823,-5,4,1,Black
2001,2098,-1,1,0,Draw
1986,1814,-2,-1,-1,White
1982,1721,-3,0,-1,White
1787,1998,0,0,-1,White
1957,1988,-1,2,1,Black
1983,1780,-2,-1,-1,White
1654,1551,0,0,1,Black
1642,1644,2,-1,-1,White
1822,1831,-3,1,-1,White
2063,1902,-3,0,-1,White
2057,1824,-2,-2,0,White
2148,1828,0,2,0,Black
1325,1374,-4,1,-2,White
1347,1323,-1,0,-2,White
1619,1584,-3,0,-1,White
1653,1639,-1,-2,0,Black
1837,1802,-4,-1,3,Black
1903,1989,3,1,1,Black
1970,2292,-3,-1,-1,White
2217,1970,-6,-2,0,White
1960,1949,-3,-1,-1,White
1939,1944,4,2,1,Black
1937,1813,-6,-1,0,White
1887,1827,-1,-1,-1,White
1779,1873,1,2,1,Black
1858,1788,-1,0,-1,White
1845,1723,0,-1,-2,White
1730,1830,3,2,0,Black
1813,1738,-4,-1,0,White
1825,1789,3,1,0,Black
1760,1838,-9,0,0,White
1865,1727,0,2,1,Black
1702,1679,-3,0,-2,White
1421,1572,1,-2,-1,White
1409,1414,0,0,-1,White
1412,1781,2,1,1,Black
1404,1623,1,1,1,Black
1820,1867,0,-1,3,Black
1669,1813,1,-1,1,Black
1797,1946,0,0,-2,White
1790,1642,-1,-3,0,White
1631,1783,0,-2,1,Black
1863,1792,2,-2,-2,White
1791,1925,-1,1,1,Black
1794,2103,0,0,2,Black
1500,1354,0,1,-2,White
1617,1606,0,0,0,Black
1611,1747,1,2,-1,Black
1529,1138,2,-1,-1,White
1141,1523,-1,1,2,Black
1395,1470,2,2,-1,Black
1469,1476,1,1,1,Black
1894,1690,2,0,0,Black
1720,2540,1,2,1,Black
1721,2317,1,0,2,Black
1671,1967,3,-1,-2,White
1399,1419,0,-1,-1,White
1428,1467,-5,3,0,Black
1427,1452,1,2,2,Black
1337,1430,3,-1,0,Draw
1472,1418,5,0,1,Black
1407,1397,0,-1,-1,White
